,Keywords,title,year,
215,Twitter MessageDiffusion Micro-Blog Police,Police Message Diffusion on Twitter: Analysing the Reach of Social Media Communications,2015,
216,Internet ComputationalAnalysis DataMining Optimization,"The Who-To-Follow System at Twitter: Strategy, Algorithms, and Revenue Impact",2015,
217,SocialNetworkAnalysis IctInEducation Twitter StemEducation,Investigation of Social Networks and Discussions in STEM Education Communities on Twitter,2015,
218,DataAnalysis SocialMedia Transportation,The Reach and Influence of DOT Twitter Accounts: A Case Study in Florida,2015,
219,Twitter Hyperlink OnlineCommunity QuantitativeEvaluation SocialNetworkAnalysis WebImpactAnalysis,Networking Interest and Networked Structure: A Quantitative Analysis of Twitter Data,2015,
221,ScientometricsAndScholarlyCommunication SocialInformatics SocialMedia,Assessing the Popularity of the Top-tier Journals in the LIS Field on Twitter,2015,
223,Facebook Twitter InformationSharing Motivations SocialNetworkSites,Why Do Social Network Site Users Share Information on Facebook and Twitter?,2015,
224,Clustering DisasterResponse Lexicon MutualInformation Risk Twitter,Disentangling the Lexicons of Disaster Response in Twitter,2015,
227,Cross-NetworkRecommendation Multi-LabelClassification,Pinterest Board Recommendation for Twitter Users,2015,
231,OnlineBehavior SocialAttention SocialMedia TopicDetectionOnShort-Message Twitter Weibo,Topical Differences Between Chinese Language Twitter and Sina Weibo,2016,
232,SocialGraph SocialTagging TensorAnalysis,Why Do You Follow Him?: Multilinear Analysis on Twitter,2015,
233,Microblogging QuerySuggestion Twitter ViralContent,Semantic Query Suggestion Using Twitter Entities,2015,
236,PublicParticipation SocialActivism SocialMedia WisdomOfCrowds,Social Learning and Online Discussion: Is Twitter a Wise Crowd?,2015,
238,BankingSector Multi-AgentModels TrendPrediction Twitter Universities,Development and Evaluation of Multi-Agent Models Predicting Twitter Trends in Multiple Domains,2015,
240,SocialNetwork CampaignDetection SocialSpam,Detecting Spam and Promoting Campaigns in Twitter,2016,
241,ProfileAttributes SocialPrivacy TwitterAnalysis,Privacy Behaviour and Profile Configuration in Twitter,2016,
242,NoiseFiltering NonnegativeMatrixFactorization StreamingAlgorithm TopicDetection Twitter,Real-Time Top-R Topic Detection on Twitter with Topic Hijack Filtering,2015,
244,ContentVirality NewsArticles OnlineSocialNetworks,"Content Virality on Online Social Networks: Empirical Evidence from Twitter, Facebook, and Google+ on German News Websites",2015,
246,EventExtraction EventMessageIdentification SemanticElementsExtraction EventCategorization,An Overview of Event Extraction from Twitter,2015,
248,Internet ComputationalAnalysis DataMining Optimization,"The Who-To-Follow System at Twitter: Strategy, Algorithms, and Revenue Impact",2015,
249,BigData UserEngagement SocialMedia DataMining,Understanding Library User Engagement Strategies Through Large-Scale Twitter Analysis,2015,
250,EventMining EventPhotoMining Geo-PhotoTweet GeotaggedImage Microblog Twitter,Event Photo Mining from Twitter Using Keyword Bursts and Image Clustering,2016,
251,SocialMedia TwitterTrendAnalysis ApacheHadoop SourceAndSinkMechanism ApacheHbase Hive Pig.ApacheOozie Zookeeper,A Speedy Data Uploading Approach for Twitter Trend and Sentiment Analysis Using HADOOP,2015,
252,Twitter SocialNetworkAnalysis Learning SocialMedia Expertise CentralityMeasures,Tweet to Learn: Expertise and Centrality in Conference Twitter Networks,2015,
254,BehavioralCharacteristics EventDetection PopularUsers Twitter,The Rich and Middle Classes on Twitter,2016,
255,DemographicAttributes Sampling Semi-AutomaticClassification SocialResearch Twitter UserInterface,An Interactive Method for Inferring Demographic Attributes in Twitter,2015,
256,DataScience MachineLearning NaturalLanguageProcessing Prediction RoadTraffic Twitter,Tweeting Traffic: Analyzing Twitter for Generating Real-time City Traffic Insights and Predictions,2015,
257,ConceptualSimilarity Linguistics MedicalEducation SemanticSimilarity Semantics TextAnalysis,"How Do Twitter, Wikipedia, and Harrison's Principles of Medicine Describe Heart Attacks?",2015,
259,SocialInformationRetrieval SocialMediaClassification Twitter,Inferring Latent Attributes of an Indian Twitter User Using Celebrities and Class Influencers,2015,
260,GenerativeModel GraphAnalysis SocialNetworks,Equality and Social Mobility in Twitter Discussion Groups,2016,
261,MobileComputing SearchInterfaces TopicModelling,TwIST: A Mobile Approach for Searching and Exploring Within Twitter,2016,
263,SimilarityNetwork SocialSemantics TwitterEntities,Discovering Similar Twitter Accounts Using Semantics,2016,
264,AuthoshipVerification CompromisedAccounts N-Grams,Recognition of Compromised Accounts on Twitter,2015,
267,Communication Conversation Coordination Language Psychology SocialMedia SocialNetworks SocialStatus Twitter,A Robust Framework for Estimating Linguistic Alignment in Twitter Conversations,2016,
268,LocalEvents Microblog Twitter,Eyewitness: Identifying Local Events via Space-time Signals in Twitter Feeds,2015,
269,OnlineSocialNetworks PublicShaming Twitter,Look Before You Shame: A Study on Shaming Activities on Twitter,2016,
273,#tvduell GermanElections ElectionCampaign PoliticalDebate SecondScreen Twitter,Two Different Debates? Investigating the Relationship Between a Political Debate on TV and Simultaneous Comments on Twitter,2015,
274,CrisisCommunication NetworkAnalysis RiskCommunication SocialMedia,A Network Analysis of Official Twitter Accounts During the West Virginia Water Crisis,2016,
275,ChoiceModel CustomerRelationship HiddenMarkovModel Microblogging ServiceIntervention SocialMedia WordOfMouth,The Squeaky Wheel Gets the Grease-An Empirical Analysis of Customer Voice and Firm Intervention on Twitter,2015,
276,CommunityDynamics InformationSeeking InformationalAndSocialNeeds PhysicalGatherings SocialMediaAnalysis SocialSearch,Information Seeking and Responding Networks in Physical Gatherings: A Case Study of Academic Conferences in Twitter,2015,
277,EventDetection Floods LiveWeb Microblogs Visualization,Twitter Floods when It Rains: A Case Study of the UK Floods in Early 2014,2015,
278,BotAnalyser ContentAnalysis InformationDissemination,Stweeler: A Framework for Twitter Bot Analysis,2016,
279,American Demographics Mobilization Race SocialMedia Twitter Urban,Urban Social Media Demographics: An Exploration of Twitter Use in Major American Cities,2016,
281,LocationBasedSocialMedia SocialMedia TopicModelling TravelDemandAnalysis,Utilising Location Based Social Media in Travel Survey Methods: Bringing Twitter Data into the Play,2015,
282,SocialMedia Twitter SentimentAnalysis PosSequence Subjectivity Polarity,The Use of POS Sequence for Analyzing Sentence Pattern in Twitter Sentiment Analysis,2015,
283,Microblogging Twitter Feedback PeerInstruction Web2.0 SocialMedia,Using Twitter to Support Peer Instruction: A Case Study,2015,
285,ContentAnalysis Employees SocialMedia Work-RelatedTwitterUse WorkplaceCommunication,How Employees Use Twitter to Talk About Work,2016,
287,Twitter NetworkAnalysis OnlinePublicForum OpinionLeadership SocialMedia Two-StepFlowOfCommunication,The Two-Step Flow of Communication in Twitter-Based Public Forums,2015,
288,Co-OccurrenceAnalysis Health Twitter,Identification and Analysis of Medical Entity Co-occurrences in Twitter,2015,
289,DrugTrends DrugUse SocialMedia SocialNetworks Twitter,This is Your Twitter on Drugs: Any Questions?,2015,
290,EventIdentification GeoTagging OpinionMining PointOfInterest,Event Recommendation Using Twitter Activity,2015,
291,LinkPrediction SocialNetworks,Enhancing Link Prediction in Twitter Using Semantic User Attributes,2015,
296,Twitter ComputationalSocialScience MunicipalElections SmallSampleDatasets SocialMediaCampaigning,#Vote4Me: The Impact of Twitter on Municipal Campaign Success,2015,
303,Analysis Clustering DataMining Network SocialMedia,Classification Method for Shared Information on Twitter Without Text Data,2015,
304,SentimentAnalysis TopicModeling TwitterHashtag,Is That Twitter Hashtag Worth Reading,2015,
305,Attitude Brand SocialMedia Twitter,Predicting Attitude and Actions of Twitter Users,2016,
307,Askewbowtie E-Commerce TwitterConversations,Mining Twitter Conversations Around E-commerce Promotional Events,2016,
308,Clustering SocialMedia TextProcessing,Surpassing the Limit: Keyword Clustering to Improve Twitter Sample Coverage,2015,
