,Keywords,title,year,
198,InformationNeed TimeSeriesAnalysis Twitter,Questions About Questions: An Empirical Analysis of Information Needs on Twitter,2013,
199,ExpertiseJudgment RecommendationSystem Twitter,Understanding Experts' and Novices' Expertise Judgment of Twitter Users,2012,
200,ElectronicWord-Of-Mouth SocialMedia TourismBehavior TourismServices Twitter,Electronic Word-of-mouth and Online Reviews in Tourism Services: The Use of Twitter by Tourists,2013,
202,OnlineSocialNetworks UndergroundEconomy,Poultry Markets: On the Underground Economy of Twitter Followers,2012,
203,DiscoveryAnalytics ComputationalBehaviorFinance SocialMedia Twitter,Twitter Mood As a Stock Market Predictor,2011,
204,AudienceRatings Microblogging SocialNetwork,Towards Better TV Viewing Rates: Exploiting Crowd's Media Life Logs over Twitter for TV Rating,2011,
205,Lda DataMining PublicHealth SocialMedia SocialNetworks TobaccoUse TopicModeling,Identifying Health-related Topics on Twitter: An Exploration of Tobacco-related Tweets As a Test Topic,2011,
207,Computer-MediatedCommunication Live-Tweeting Mixed-Methods,Glitter: A Mixed-methods Study of Twitter Use During Glee Broadcasts,2012,
209,CivilianResponse DataMining DemographicAnalysis Microblogging SentimentAnalysis TerrorismInformatics Twitter Visualization,A Microblogging-based Approach to Terrorism Informatics: Exploration and Chronicling Civilian Sentiment and Response to Terrorism Events via Twitter,2011,
210,MultiplexSocialNetwork NamedEntityRecognition NetworkAnalysis SocialNetworks,Online Named Entity Recognition Method for Microtexts in Social Networking Services: A Case Study of Twitter,2012,
212,EventDetection TextMining,STED: Semi-supervised Targeted-interest Event Detectionin in Twitter,2013,
214,DataCollection DataManagement Methods SocialMedia Twitter,"Twitter Zombie: Architecture for Capturing, Socially Transforming and Analyzing the Twittersphere",2012,
215,Twitter Elections Forecasting Politics Prediction SocialMedia,A Meta-Analysis of State-of-the-Art Electoral Prediction From Twitter Data,2013,
217,Identity-BasedGroups SeekersOfTopicalInformation TopicalExperts TopicalGroups Twitter,Deep Twitter Diving: Exploring Topical Groups in Microblogs at Scale,2014,
218,CollaborativeFiltering ContextAwareness RecommenderSystems UserFeedback,Social Temporal Collaborative Ranking for Context Aware Movie Recommendation,2013,
219,Events Real-Time Summarization Twitter,Towards Real-time Summarization of Scheduled Events from Twitter Streams,2012,
220,RecommenderSystems Algorithms SocialWeb Tagging,Improving Recommendation Accuracy Based on Item-specific Tag Preferences,2013,
221,Twitter Breaks Internet MediaRefusal Self-Control SocialMedia Willpower,Giving Up Twitter for Lent: How and Why We Take Breaks from Social Media,2014,
222,Personalization RecommenderSystems Twitter,A Survey of Recommender Systems in Twitter,2012,
223,TwitterSentimentAnalysis EmotionToken MetworkInformalLanguage MultilingualSentimentAnalysis SentimentLexicon,Emotion Tokens: Bridging the Gap Among Multilingual Twitter Sentiment Analysis,2011,
224,TwitterHashtags CollaborativeTagging DiffusionOfInnovation SocialMedia,A New Perspective on Twitter Hashtag Use: Diffusion of Innovation Theory,2010,
225,Awareness Learning Microblogging SocialMedia Twitter,Software Engineering at the Speed of Light: How Developers Stay Current Using Twitter,2014,
